geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
11A0104;Arouca;60.1;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0112;Murtosa;60.2;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701115;Amadora;60.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1811513;Sines;60.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851406;Cartaxo;60.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003110;São Vicente;60.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1312;Porto;60.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16F1016;Porto de Mós;60.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1804;Cinfães;60.6;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840205;Beja;60.6;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500808;Loulé;60.8;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500810;Olhão;60.8;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1006;Caldas da Rainha;60.8;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
15;Algarve;60.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
150;Algarve;60.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16E0111;Mealhada;60.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701107;Loures;60.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1001;Alcobaça;61;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1861204;Campo Maior;61;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16E0603;Coimbra;61.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701512;Setúbal;61.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1111610;Vila Nova de Cerveira;61.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11D1704;Mesão Frio;61.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16F;Região de Leiria;61.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
185;Lezíria do Tejo;61.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870713;Viana do Alentejo;61.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1108;Lourinhã;62;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701503;Almada;62;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
181;Alentejo Litoral;62;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851403;Almeirim;62.1;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1111609;Viana do Castelo;62.2;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0101;Águeda;62.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701110;Oeiras;62.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500807;Lagos;62.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1012;Óbidos;62.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870714;Vila Viçosa;62.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11D1708;Peso da Régua;62.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500813;Silves;63;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1861207;Elvas;63.2;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840206;Castro Verde;63.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16E0610;Montemor-o-Velho;63.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16I1421;Ourém;63.4;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1111608;Valença;63.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851415;Salvaterra de Magos;63.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11D1815;São João da Pesqueira;63.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851416;Santarém;63.8;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870710;Redondo;63.8;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1191705;Mondim de Basto;64;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
3003109;Santana;64;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701504;Barreiro;64.2;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16;Centro;64.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1011;Nazaré;64.3;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B1005;Bombarral;64.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
18;Alentejo;64.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870709;Portel;64.5;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870711;Reguengos de Monsaraz;64.6;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851412;Golegã;64.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
187;Alentejo Central;64.7;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870702;Arraiolos;64.9;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500812;São Brás de Alportel;65;2011;0008261;"Índice de dependência total (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
