ano;trimestre;regiao;instituicao;cod_capitulo;desc_capitulo;taxa_internamento;dias_internamento;taxa_mortalidade
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;10;Doenças do aparelho respiratório;12.0;5607;12.22
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.;15;Gravidez, parto e puerpério;6.42;1139;0.0
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;1;Algumas doenças infecciosas e parasitárias;3.23;2117;14.37
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;1.1;541;1.75
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;6;Doenças do sistema nervoso;2.14;2115;0.0
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;10;Doenças do aparelho respiratório;8.67;3362;13.81
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;3.57;1483;0.54
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;15;Gravidez, parto e puerpério;11.53;1997;0.0
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Ave, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;4.21;1596;4.59
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;8;Doenças do ouvido e da apófise mastóide;0.43;53;0.0
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;12;Doenças da pele e do tecido subcutâneo;1.83;756;3.7
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.19;455;2.06
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;10;Doenças do aparelho respiratório;11.96;3968;13.24
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Médio Ave, E.P.E.;12;Doenças da pele e do tecido subcutâneo;1.29;268;9.68
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Nordeste, E.P.E.;17;Malformações congénitas, deformações e anomalias cromossómicas;0.14;8;0.0
2019;Terceiro;Região de Saúde do Norte;Unidade Local de Saúde do Nordeste, E.P.E.;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;5.38;524;0.0
