geocod;geodsg;valor;periodo;indicador_cod;indicador_dsg
16F1010;Marinha Grande;37.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1811513;Sines;37.4;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11C1302;Baião;37.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840205;Beja;37.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16F1004;Batalha;37.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1190304;Cabeceiras de Basto;37.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500810;Olhão;37.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004501;Calheta;37.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1851414;Rio Maior;37.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A1308;Matosinhos;38;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D;Região de Aveiro;38;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500806;Lagoa;38.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
PT;Portugal;38.2;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1500808;Loulé;38.3;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16B;Oeste;38.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1861204;Campo Maior;38.5;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11A0113;Oliveira de Azeméis;38.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0118;Vagos;38.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1870705;Évora;38.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
2004601;Lajes do Pico;38.6;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1;Continente;38.7;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
11D1714;Vila Real;38.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
15;Algarve;38.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
150;Algarve;38.8;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1190307;Fafe;38.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
16D0112;Murtosa;38.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1840207;Cuba;38.9;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
1701512;Setúbal;39;2011;0008259;"Índice de dependência de idosos (N.º) por Local de residência (NUTS - 2013); Anual - INE, Estimativas anuais da população residente"
