freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT11;Norte;1995;1995;0.08
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT11;Norte;1995;1995;0.07
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT11;Norte;1995;1995;0.06
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT111;Alto Minho;1995;1995;0.4
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT111;Alto Minho;1995;1995;0.4
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT111;Alto Minho;1995;1995;0.38
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT111;Alto Minho;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT111;Alto Minho;1995;1995;0.4
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT111;Alto Minho;1995;1995;0.41
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT111;Alto Minho;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT111;Alto Minho;1995;1995;0.4
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT111;Alto Minho;1995;1995;0.41
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT111;Alto Minho;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT111;Alto Minho;1995;1995;0.39
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT111;Alto Minho;1995;1995;0.38
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT111;Alto Minho;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT111;Alto Minho;1995;1995;0.36
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT111;Alto Minho;1995;1995;0.36
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT111;Alto Minho;1995;1995;0.37
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT111;Alto Minho;1995;1995;0.37
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT111;Alto Minho;1995;1995;0.35
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT111;Alto Minho;1995;1995;0.36
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT111;Alto Minho;1995;1995;0.35
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT111;Alto Minho;1995;1995;0.33
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT111;Alto Minho;1995;1995;0.33
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT111;Alto Minho;1995;1995;0.31
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT111;Alto Minho;1995;1995;0.31
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT111;Alto Minho;1995;1995;0.29
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT111;Alto Minho;1995;1995;0.27
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT111;Alto Minho;1995;1995;0.31
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT111;Alto Minho;1995;1995;0.38
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT111;Alto Minho;1995;1995;0.38
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT111;Alto Minho;1995;1995;0.38
A;Annual;THS;Thousand;EMP;Employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT111;Alto Minho;1995;1995;0.34
A;Annual;THS;Thousand;SAL;Employees;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT111;Alto Minho;1995;1995;0.34
A;Annual;THS;Thousand;SELF;Self-employed persons;R-U;"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies";PT111;Alto Minho;1995;1995;0.35
A;Annual;THS;Thousand;EMP;Employed persons;TOTAL;Total - all NACE activities;PT112;Cávado;1995;1995;0.31
A;Annual;THS;Thousand;SAL;Employees;TOTAL;Total - all NACE activities;PT112;Cávado;1995;1995;0.32
A;Annual;THS;Thousand;SELF;Self-employed persons;TOTAL;Total - all NACE activities;PT112;Cávado;1995;1995;0.33
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT112;Cávado;1995;1995;0.32
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT112;Cávado;1995;1995;0.33
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT112;Cávado;1995;1995;0.34
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT112;Cávado;1995;1995;0.36
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT112;Cávado;1995;1995;0.31
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT112;Cávado;1995;1995;0.31
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT112;Cávado;1995;1995;0.43
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT112;Cávado;1995;1995;0.44
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT112;Cávado;1995;1995;0.35
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT112;Cávado;1995;1995;0.29
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT112;Cávado;1995;1995;0.4
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT112;Cávado;1995;1995;0.42
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT112;Cávado;1995;1995;0.41
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT112;Cávado;1995;1995;0.39
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT112;Cávado;1995;1995;0.39
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.41
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.42
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT112;Cávado;1995;1995;0.43
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT112;Cávado;1995;1995;0.45
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT112;Cávado;1995;1995;0.45
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT112;Cávado;1995;1995;0.43
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT112;Cávado;1995;1995;0.41
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT112;Cávado;1995;1995;0.4
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.39
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.42
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT112;Cávado;1995;1995;0.41
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT112;Cávado;1995;1995;0.38
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT112;Cávado;1995;1995;0.41
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT112;Cávado;1995;1995;0.39
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT112;Cávado;1995;1995;0.38
A;Annual;THS;Thousand;SAL;Employees;O-Q;Public administration, defence, education, human health and social work activities;PT112;Cávado;1995;1995;0.37
A;Annual;THS;Thousand;SELF;Self-employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT112;Cávado;1995;1995;0.37
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT119;Ave;1995;1995;0.64
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT119;Ave;1995;1995;0.71
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT119;Ave;1995;1995;0.67
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT119;Ave;1995;1995;0.66
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT119;Ave;1995;1995;0.73
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT119;Ave;1995;1995;0.71
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT119;Ave;1995;1995;0.65
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT119;Ave;1995;1995;0.66
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT119;Ave;1995;1995;0.66
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT119;Ave;1995;1995;0.77
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT119;Ave;1995;1995;0.76
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT119;Ave;1995;1995;0.76
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT119;Ave;1995;1995;0.78
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT119;Ave;1995;1995;0.75
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT119;Ave;1995;1995;0.8
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT119;Ave;1995;1995;0.76
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT119;Ave;1995;1995;0.78
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT119;Ave;1995;1995;0.79
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT119;Ave;1995;1995;0.71
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT119;Ave;1995;1995;0.72
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT119;Ave;1995;1995;0.67
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT119;Ave;1995;1995;0.68
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT119;Ave;1995;1995;0.64
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT119;Ave;1995;1995;0.07
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT119;Ave;1995;1995;0.06
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT119;Ave;1995;1995;0.05
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT119;Ave;1995;1995;0.05
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT119;Ave;1995;1995;0.06
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT119;Ave;1995;1995;0.06
A;Annual;THS;Thousand;SELF;Self-employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT119;Ave;1995;1995;0.05
A;Annual;THS;Thousand;EMP;Employed persons;O-Q;Public administration, defence, education, human health and social work activities;PT119;Ave;1995;1995;0.05
