freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;31.6
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT170;Área Metropolitana de Lisboa (NUTS 2021);2015;2015;31.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT18;Alentejo (NUTS 2021);2015;2015;31.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT18;Alentejo (NUTS 2021);2015;2015;31.9
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT18;Alentejo (NUTS 2021);2015;2015;32.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT18;Alentejo (NUTS 2021);2015;2015;32.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT18;Alentejo (NUTS 2021);2015;2015;32.3
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT18;Alentejo (NUTS 2021);2015;2015;32.4
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT181;Alentejo Litoral (NUTS 2021);2015;2015;32.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT181;Alentejo Litoral (NUTS 2021);2015;2015;31.5
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT181;Alentejo Litoral (NUTS 2021);2015;2015;31.6
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT181;Alentejo Litoral (NUTS 2021);2015;2015;31.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT181;Alentejo Litoral (NUTS 2021);2015;2015;31.8
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT181;Alentejo Litoral (NUTS 2021);2015;2015;31.9
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.2
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.2
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.6
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT184;Baixo Alentejo (NUTS 2021);2015;2015;32.6
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.6
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.8
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT185;Lezíria do Tejo (NUTS 2021);2015;2015;31.9
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT186;Alto Alentejo (NUTS 2021);2015;2015;32.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT186;Alto Alentejo (NUTS 2021);2015;2015;32.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT186;Alto Alentejo (NUTS 2021);2015;2015;32.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT186;Alto Alentejo (NUTS 2021);2015;2015;32.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT186;Alto Alentejo (NUTS 2021);2015;2015;32.5
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT186;Alto Alentejo (NUTS 2021);2015;2015;31.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT187;Alentejo Central (NUTS 2021);2015;2015;31.8
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT187;Alentejo Central (NUTS 2021);2015;2015;31.9
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT187;Alentejo Central (NUTS 2021);2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT187;Alentejo Central (NUTS 2021);2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT187;Alentejo Central (NUTS 2021);2015;2015;32.1
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT187;Alentejo Central (NUTS 2021);2015;2015;32.3
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT19;Centro (PT);2015;2015;32.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT19;Centro (PT);2015;2015;32.5
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT19;Centro (PT);2015;2015;32.7
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT19;Centro (PT);2015;2015;32.8
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT19;Centro (PT);2015;2015;31.1
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT19;Centro (PT);2015;2015;31.0
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT191;Região de Aveiro;2015;2015;31.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT191;Região de Aveiro;2015;2015;31.4
