freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;F;Females;NR;Number;Y80-84;From 80 to 84 years;PT1;Continente;2014;2014;154055.0
A;Annual;T;Total;NR;Number;Y85-89;From 85 to 89 years;PT1;Continente;2014;2014;138484.0
A;Annual;M;Males;NR;Number;Y85-89;From 85 to 89 years;PT1;Continente;2014;2014;108940.0
A;Annual;F;Females;NR;Number;Y85-89;From 85 to 89 years;PT1;Continente;2014;2014;107588.0
A;Annual;T;Total;NR;Number;Y_GE85;85 years or over;PT1;Continente;2014;2014;106122.0
A;Annual;M;Males;NR;Number;Y_GE85;85 years or over;PT1;Continente;2014;2014;105946.0
A;Annual;F;Females;NR;Number;Y_GE85;85 years or over;PT1;Continente;2014;2014;108373.0
A;Annual;T;Total;NR;Number;Y_GE90;90 years or over;PT1;Continente;2014;2014;110633.0
A;Annual;M;Males;NR;Number;Y_GE90;90 years or over;PT1;Continente;2014;2014;110788.0
A;Annual;F;Females;NR;Number;Y_GE90;90 years or over;PT1;Continente;2014;2014;111606.0
A;Annual;T;Total;NR;Number;UNK;Unknown;PT1;Continente;2014;2014;111053.0
A;Annual;M;Males;NR;Number;UNK;Unknown;PT1;Continente;2014;2014;110363.0
A;Annual;F;Females;NR;Number;UNK;Unknown;PT1;Continente;2014;2014;103045.0
A;Annual;T;Total;NR;Number;TOTAL;Total;PT11;Norte;2014;2014;47832.0
A;Annual;M;Males;NR;Number;TOTAL;Total;PT11;Norte;2014;2014;46918.0
A;Annual;F;Females;NR;Number;TOTAL;Total;PT11;Norte;2014;2014;46541.0
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT11;Norte;2014;2014;46865.0
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT11;Norte;2014;2014;47960.0
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT11;Norte;2014;2014;49244.0
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT11;Norte;2014;2014;50103.0
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT11;Norte;2014;2014;50640.0
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT11;Norte;2014;2014;50763.0
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT11;Norte;2014;2014;50760.0
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT11;Norte;2014;2014;50040.0
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT11;Norte;2014;2014;331699.0
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT11;Norte;2014;2014;319956.0
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT11;Norte;2014;2014;311822.0
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT11;Norte;2014;2014;310031.0
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT11;Norte;2014;2014;313043.0
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT11;Norte;2014;2014;320637.0
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT11;Norte;2014;2014;320762.0
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT11;Norte;2014;2014;319094.0
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT11;Norte;2014;2014;315395.0
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT11;Norte;2014;2014;310722.0
A;Annual;T;Total;NR;Number;Y30-34;From 30 to 34 years;PT11;Norte;2014;2014;309614.0
A;Annual;M;Males;NR;Number;Y30-34;From 30 to 34 years;PT11;Norte;2014;2014;128957.0
A;Annual;F;Females;NR;Number;Y30-34;From 30 to 34 years;PT11;Norte;2014;2014;123071.0
A;Annual;T;Total;NR;Number;Y35-39;From 35 to 39 years;PT11;Norte;2014;2014;119388.0
A;Annual;M;Males;NR;Number;Y35-39;From 35 to 39 years;PT11;Norte;2014;2014;118952.0
A;Annual;F;Females;NR;Number;Y35-39;From 35 to 39 years;PT11;Norte;2014;2014;119844.0
A;Annual;T;Total;NR;Number;Y40-44;From 40 to 44 years;PT11;Norte;2014;2014;123025.0
A;Annual;M;Males;NR;Number;Y40-44;From 40 to 44 years;PT11;Norte;2014;2014;123075.0
A;Annual;F;Females;NR;Number;Y40-44;From 40 to 44 years;PT11;Norte;2014;2014;123008.0
