freq;freq_label;currency;currency_label;estruct;estruct_label;ecase;ecase_label;geo;geo_label;time;time_label;value
A;Annual;EUR;Euro;SOC;Social Security;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;20275.77
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;21030.8
A;Annual;NAC;National currency;SOC;Social Security;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;21571.91
A;Annual;EUR;Euro;FAM;Family allowances;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;22206.77
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;22536.53
A;Annual;NAC;National currency;FAM;Family allowances;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;22651.81
A;Annual;EUR;Euro;NET;Net earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;22794.63
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;23042.25
A;Annual;NAC;National currency;NET;Net earning;P1_NCH_AW167;Single person without children earning 167% of the average earning;PT;Portugal;2000;2000;23019.18
A;Annual;EUR;Euro;TOTAL;Total;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;23107.08
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;23430.82
A;Annual;NAC;National currency;TOTAL;Total;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;23753.45
A;Annual;EUR;Euro;GRS;Gross earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;22652.99
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;23995.41
A;Annual;NAC;National currency;GRS;Gross earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;25047.98
A;Annual;EUR;Euro;TAX;Taxes;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;26428.78
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;27711.32
A;Annual;NAC;National currency;TAX;Taxes;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;26142.52
A;Annual;EUR;Euro;SOC;Social Security;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;27009.92
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;27864.0
A;Annual;NAC;National currency;SOC;Social Security;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;28699.79
A;Annual;EUR;Euro;FAM;Family allowances;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;30214.8
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;31093.12
A;Annual;NAC;National currency;FAM;Family allowances;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;31818.16
A;Annual;EUR;Euro;NET;Net earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;32941.45
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;34077.62
A;Annual;NAC;National currency;NET;Net earning;P1_CH2_AW67;Single person with two children earning 67% of the average earning;PT;Portugal;2000;2000;34710.88
A;Annual;EUR;Euro;TOTAL;Total;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;35340.55
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;36193.71
A;Annual;NAC;National currency;TOTAL;Total;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;36672.57
A;Annual;EUR;Euro;GRS;Gross earning;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;36192.94
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;36386.78
A;Annual;NAC;National currency;GRS;Gross earning;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;36524.29
A;Annual;EUR;Euro;TAX;Taxes;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;43986.56
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;43885.17
A;Annual;NAC;National currency;TAX;Taxes;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;44781.49
A;Annual;EUR;Euro;SOC;Social Security;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;47353.3
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;45853.44
A;Annual;NAC;National currency;SOC;Social Security;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;47301.26
A;Annual;EUR;Euro;FAM;Family allowances;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;49416.27
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;53779.17
A;Annual;NAC;National currency;FAM;Family allowances;CPL_CH2_AW100;One-earner couple with two children earning 100% of the average earning;PT;Portugal;2000;2000;56247.1
