freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1312;State government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1313;Local government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;IGL_F4_EU27_2020;Intergovernmental lending within EU27 (from 2020);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1;Total economy;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S13;General government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1311;Central government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;B5GQ;Gross national income at market prices;PT;Portugal;1995;1995;
