freq;freq_label;unit;unit_label;icha11_hf;icha11_hf_label;geo;geo_label;time;time_label;value
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF23;Enterprise financing schemes;PT;Portugal;1992;1992;5178.86
A;Annual;MIO_EUR;Million euro;HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;5119.86
A;Annual;EUR_HAB;Euro per inhabitant;HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;5443.69
A;Annual;MIO_NAC;Million units of national currency;HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;5660.21
A;Annual;NAC_HAB;National currency per inhabitant;HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;5799.82
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;6016.2
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;6180.11
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;6382.39
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF3;Household out-of-pocket payment;PT;Portugal;1992;1992;6644.09
A;Annual;MIO_EUR;Million euro;HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;7013.79
A;Annual;EUR_HAB;Euro per inhabitant;HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;7497.49
A;Annual;MIO_NAC;Million units of national currency;HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;7865.11
A;Annual;NAC_HAB;National currency per inhabitant;HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;8622.98
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;9050.17
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;9388.65
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;9605.45
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF31;Out-of-pocket excluding cost-sharing;PT;Portugal;1992;1992;10117.88
A;Annual;MIO_EUR;Million euro;HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;10137.17
A;Annual;EUR_HAB;Euro per inhabitant;HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;10436.75
A;Annual;MIO_NAC;Million units of national currency;HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;10720.71
A;Annual;NAC_HAB;National currency per inhabitant;HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;11093.59
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;11426.4
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;12051.42
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;12647.1
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF32;Cost sharing with third-party payers;PT;Portugal;1992;1992;14357.58
A;Annual;MIO_EUR;Million euro;HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;18545.79
A;Annual;EUR_HAB;Euro per inhabitant;HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;17458.49
A;Annual;MIO_NAC;Million units of national currency;HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;17478.24
A;Annual;NAC_HAB;National currency per inhabitant;HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF4;Rest of the world financing schemes (non-resident);PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;EUR_HAB;Euro per inhabitant;HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;MIO_NAC;Million units of national currency;HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;NAC_HAB;National currency per inhabitant;HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF_UNK;Financing schemes unknown;PT;Portugal;1992;1992;
A;Annual;MIO_EUR;Million euro;TOT_HF;All financing schemes;PT;Portugal;1993;1993;
A;Annual;EUR_HAB;Euro per inhabitant;TOT_HF;All financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_NAC;Million units of national currency;TOT_HF;All financing schemes;PT;Portugal;1993;1993;
A;Annual;NAC_HAB;National currency per inhabitant;TOT_HF;All financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);TOT_HF;All financing schemes;PT;Portugal;1993;1993;
