tempo;regiao;instituicao;localizacao_geografica;prazo_medio_de_pagamento
2017-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;79
2018-12;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;218
2019-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;92
2019-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;142
2021-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;239
2021-09;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;125
2021-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;164
2021-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;176
2022-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;183
2022-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;121
2022-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;21
2022-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;173
2022-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;87
2022-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;165
2022-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;25
2023-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;183
2023-03;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;28
2023-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;163
2023-12;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;67
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Santo António, E. P. E.;41.1472498, -8.6172617;130
2024-06;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.;41.3031784, -7.7515252;160
2024-09;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, E. P. E.;41.3423984, -8.4802503;131
2024-09;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.;40.516364, -8.0827433;93
2014-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;63
2014-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;456
2014-12;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;0
2014-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;200
2014-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;301
2015-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;227
2015-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;47
2015-06;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;228
2015-09;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;136
2015-12;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;105
2015-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;195
2016-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;100
2016-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;52
2016-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;233
2016-06;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;13
2016-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;158
2016-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;235
2016-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;277
2016-12;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;163
2016-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;15
2016-12;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;0
2017-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;396
2017-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;67
2017-03;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;19
2017-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;200
2017-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;240
2017-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;103
2017-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;64
2018-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;46
2018-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;15
2018-09;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;89
2018-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;211
2018-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;127
2018-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;175
2019-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;94
2019-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;124
2019-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;263
2019-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;232
2020-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;176
2021-06;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;52
2021-06;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;31
2021-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;169
2021-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;213
2021-09;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;30
2022-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;108
2022-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;169
2022-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;48
2022-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;47
2022-12;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;171
2022-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;172
2023-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;179
2015-12;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;133
2016-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;192
2016-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;217
2016-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;29
2018-09;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;352
2018-12;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;25
2019-06;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;32
2019-06;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;212
2019-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;234
2019-09;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;7
2019-09;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;216
2019-12;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;295
2020-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;210
2021-12;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;218
2022-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;169
2022-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;172
2022-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;110
2023-03;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;199
2023-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;159
2023-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;136
2023-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;134
2023-06;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;160
2023-12;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;20
2023-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;13
2024-06;Região de Saúde do Alentejo;UNIDADE LOCAL DO BAIXO ALENTEJO, EPE;38.014123, -7.8721227;99
2024-06;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;19
2024-09;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;15
2024-12;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;32
2014-09;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;0
2015-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;38
2015-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;61
2015-09;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;0
2016-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;102
2016-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;0
2016-06;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;91
2016-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;40
2016-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;426
2016-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;327
2016-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;88
2016-12;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;0
2017-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;33
2018-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;300
2018-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;29
2018-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;88
2018-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;315
2019-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;93
2019-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;28
2020-06;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;62
2020-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;221
2020-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;221
2021-09;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;196
2021-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;192
2022-03;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;215
2022-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;14
2022-09;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;155
2022-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;32
2023-06;Serviços Centrais;Direção Executiva do Serviço Nacional de Saúde, I.P.;41.1831056, -8.6010558;
2023-06;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;28
2023-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;176
2023-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;19
2023-12;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;70
2022-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;260
2022-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;159
2022-12;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;178
2022-12;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;49
2022-12;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;196
2023-06;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;150
2023-09;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;188
2023-09;Serviços Centrais;Instituto Nacional de Emergência Médica;38.7314304, -9.142532;30
2023-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;108
2014-03;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;495
2014-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;0
2014-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;0
2014-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;112
2014-09;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;61
2014-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;104
2014-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;75
2014-12;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;80
2014-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;573
2015-03;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;124
2015-03;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2015-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;0
2015-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;0
2015-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;58
2015-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;80
2015-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;270
2015-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;124
2015-12;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;225
2016-03;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2016-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;91
2016-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;54
2016-12;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;492
2017-03;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;338
2017-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;34
2017-06;Região de Saúde do Centro;Hospital José Luciano de Castro - Anadia;40.442326, -8.441689;0
2017-06;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;46
2018-06;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2018-09;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;28
2018-09;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;30
2018-12;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;13
2018-12;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;229
2018-12;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;94
2018-12;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;331
2018-12;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;171
2019-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;89
2019-06;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;322
2019-09;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;124
2019-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;254
2020-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;133
2020-03;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;219
2020-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;110
2020-06;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;46
2020-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;191
2020-12;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;29
2020-12;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;100
2020-12;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;43
2021-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;64
2021-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;159
2021-06;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;29
2021-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;173
2021-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;152
2021-12;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;128
2021-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;184
2022-03;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;141
2022-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;180
2022-12;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;163
2022-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;193
2022-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;178
2023-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;122
2023-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;202
2023-06;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;48
2023-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;162
2023-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;40
2023-09;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;247
2023-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;115
2023-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;123
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.;41.3031784, -7.7515252;166
2024-03;Região de Saúde Norte;UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE;41.7056054, -8.8252713;131
2024-03;Região de Saúde Norte;UNIDADE LOCAL DE SAUDE DO NORDESTE, EPE;41.8056532, -6.7888197;133
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, E. P. E.;38.9777435, -8.9847644;46
2024-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;23
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, E. P. E.;38.7500861, -9.1616116;107
2024-09;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, E. P. E.;39.7414812, -8.7982706;65
2024-09;Região de Saúde do Alentejo;UNIDADE LOCAL DE SAUDE DO LITORAL ALENTEJANO, EPE;38.0162314, -8.6956768;98
2024-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E. P. E.;39.3003425, -7.4263845;66
2024-12;Região de Saúde do Centro;Unidade Local de Saúde da Região de Leiria, E. P. E.;39.7414812, -8.7982706;52
2017-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;293
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;101
2018-09;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;155
2019-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;171
2019-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;155
2019-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;329
2020-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;16
2020-06;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;153
2021-06;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;151
2021-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;184
2021-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;204
2021-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;32
2022-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;45
2022-06;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;179
2022-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;116
2022-09;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;144
2022-12;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;90
2023-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;123
2023-06;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;81
2023-06;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;122
2023-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;161
2023-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;139
2023-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;69
2023-09;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;150
2023-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;176
2023-12;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;125
2023-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;114
2024-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, E. P. E.;38.5684861, -7.9032848;61
2024-06;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria, E. P. E.;38.7500861, -9.1616116;121
2024-09;Região de Saúde Norte;INSTITUTO PORTUGUES DE ONCOLOGIA DO PORTO, EPE;41.1785642, -8.6062881;96
2024-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, E. P. E.;39.3003425, -7.4263845;72
2024-09;Serviços Centrais;Instituto Nacional de Emergência Médica;38.7314304, -9.142532;29
2024-12;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;85
2024-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;15
2024-12;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, E. P. E.;40.2191523, -8.4098211;127
2024-12;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;9
