tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Por acidente em serviço ou doença profissional;545
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Assistência a familiares;85
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Outras;2088
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Trabalhador-estudante;106
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Protecção na parentalidade;16621
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Cumprimento de pena disciplinar;0
2020-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.027122, -7.946842;Falecimento de familiar;389
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711, -8.7589945;Injustificadas;0
2020-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.027122, -7.946842;Greve;698
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Protecção na parentalidade;5992
2020-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve;37.0238973, -7.9281554;Por conta do período de férias;246
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Assistência a familiares;108
2020-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve;37.0238973, -7.9281554;Cumprimento de pena disciplinar;0
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Trabalhador-estudante;181
2020-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.203782, -8.419176;Doença;97164
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Com perda do vencimento;16
2020-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.203782, -8.419176;Por acidente em serviço ou doença profissional;8533
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Greve;22
2020-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.203782, -8.419176;Trabalhador-estudante;959
2014-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Trabalhador-estudante;426
2020-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.203782, -8.419176;Com perda do vencimento;58
2014-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Falecimento de familiar;91
2020-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Doença;40670
2014-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Assistência a familiares;51
2020-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Assistência a familiares;493
2014-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Por conta do período de férias;72
2020-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Casamento;165
2014-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Greve;0
2020-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Falecimento de familiar;577
2014-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Injustificadas;4
2020-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Greve;882
2014-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Greve;147
2020-12;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Outras;1749
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Protecção na parentalidade;5806
2020-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Protecção na parentalidade;34355
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Doença;9462
2020-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Trabalhador-estudante;922
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Assistência a familiares;186
2020-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Casamento;603
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Trabalhador-estudante;345
2020-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Por acidente em serviço ou doença profissional;15577
2014-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Por conta do período de férias;81
2020-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Com perda do vencimento;927
