2025-12-31 23:04:38,726 - INFO - ======================================================================
2025-12-31 23:04:38,726 - INFO - ULS INTEGRATION STRUCTURE ANALYSIS
2025-12-31 23:04:38,726 - INFO - ======================================================================

2025-12-31 23:04:38,726 - INFO - Loading entities from all datasets...
2025-12-31 23:04:38,801 - INFO -   Monthly panel: 192 entities
2025-12-31 23:04:38,814 - INFO -   Quality data: 128 entities
2025-12-31 23:04:38,821 - INFO -   Financial data: 95 entities
2025-12-31 23:04:38,821 - INFO - 
Total unique entities: 252
2025-12-31 23:04:38,822 - INFO - 
Classifying entities...
2025-12-31 23:04:38,822 - INFO - 
Classification results:
2025-12-31 23:04:38,822 - INFO -   ULS: 128
2025-12-31 23:04:38,822 - INFO -   IPO: 16
2025-12-31 23:04:38,822 - INFO -   Hospitals/Centros Hospitalares: 95
2025-12-31 23:04:38,822 - INFO -   ACES: 0
2025-12-31 23:04:38,822 - INFO -   Other: 13
2025-12-31 23:04:38,822 - INFO - 
======================================================================
2025-12-31 23:04:38,824 - WARNING - ⚠ IPO count mismatch: Found 16, expected 3
2025-12-31 23:04:38,824 - INFO - 
======================================================================
2025-12-31 23:04:38,824 - INFO - PRE-INTEGRATION HOSPITALS & CENTROS HOSPITALARES
2025-12-31 23:04:38,824 - INFO - ======================================================================
2025-12-31 23:04:38,824 - INFO - 
Found 95 hospital entities:
2025-12-31 23:04:38,824 - INFO -   1. Centro Hospitalar Barreiro/Montijo, EPE
2025-12-31 23:04:38,824 - INFO -   2. Centro Hospitalar Entre Douro e Vouga, EPE
2025-12-31 23:04:38,824 - INFO -   3. Centro Hospitalar Médio Ave, E. P. E.
2025-12-31 23:04:38,824 - INFO -   4. Centro Hospitalar Médio Ave, EPE
2025-12-31 23:04:38,824 - INFO -   5. Centro Hospitalar Médio Tejo, E. P. E.
2025-12-31 23:04:38,824 - INFO -   6. Centro Hospitalar Médio Tejo, EPE
2025-12-31 23:04:38,824 - INFO -   7. Centro Hospitalar Psiquiátrico de Lisboa
2025-12-31 23:04:38,824 - INFO -   8. Centro Hospitalar Psiquiátrico de Lisboa, SPA
2025-12-31 23:04:38,824 - INFO -   9. Centro Hospitalar Póvoa Varzim / Vila do Conde, E. P. E.
2025-12-31 23:04:38,824 - INFO -  10. Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE
2025-12-31 23:04:38,824 - INFO -  11. Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE
2025-12-31 23:04:38,824 - INFO -  12. Centro Hospitalar Tondela-Viseu, E. P. E.
2025-12-31 23:04:38,824 - INFO -  13. Centro Hospitalar Tondela-Viseu, EPE
2025-12-31 23:04:38,824 - INFO -  14. Centro Hospitalar Trás-os-Montes e Alto Douro, E. P. E.
2025-12-31 23:04:38,824 - INFO -  15. Centro Hospitalar Trás-os-Montes e Alto Douro, EPE
2025-12-31 23:04:38,824 - INFO -  16. Centro Hospitalar Tâmega e Sousa, EPE
2025-12-31 23:04:38,824 - INFO -  17. Centro Hospitalar Universitário Cova da Beira, E. P. E.
2025-12-31 23:04:38,824 - INFO -  18. Centro Hospitalar Universitário Cova da Beira, EPE
2025-12-31 23:04:38,824 - INFO -  19. Centro Hospitalar Universitário Lisboa Central, EPE
2025-12-31 23:04:38,824 - INFO -  20. Centro Hospitalar Universitário Lisboa Norte, E. P. E.
2025-12-31 23:04:38,824 - INFO -  21. Centro Hospitalar Universitário Lisboa Norte, EPE
2025-12-31 23:04:38,824 - INFO -  22. Centro Hospitalar Universitário de Lisboa Central, E. P. E.
2025-12-31 23:04:38,824 - INFO -  23. Centro Hospitalar Universitário de Lisboa Central, EPE
2025-12-31 23:04:38,824 - INFO -  24. Centro Hospitalar Universitário de Santo António, E. P. E.
2025-12-31 23:04:38,824 - INFO -  25. Centro Hospitalar Universitário de Santo António, EPE
