freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;M;Males;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2015;2015;766131
A;Annual;F;Females;NR;Number;Y60-64;From 60 to 64 years;PT;Portugal;2015;2015;743569
A;Annual;T;Total;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2015;2015;729857
A;Annual;M;Males;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2015;2015;725913
A;Annual;F;Females;NR;Number;Y65-69;From 65 to 69 years;PT;Portugal;2015;2015;767351
A;Annual;T;Total;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2015;2015;758958
A;Annual;M;Males;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2015;2015;756632
A;Annual;F;Females;NR;Number;Y70-74;From 70 to 74 years;PT;Portugal;2015;2015;760556
A;Annual;T;Total;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2015;2015;767809
A;Annual;M;Males;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2015;2015;774371
A;Annual;F;Females;NR;Number;Y75-79;From 75 to 79 years;PT;Portugal;2015;2015;786195
A;Annual;T;Total;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2015;2015;797726
A;Annual;M;Males;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2015;2015;807123
A;Annual;F;Females;NR;Number;Y80-84;From 80 to 84 years;PT;Portugal;2015;2015;818452
A;Annual;T;Total;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2015;2015;820461
A;Annual;M;Males;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2015;2015;747484
A;Annual;F;Females;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2015;2015;756461
A;Annual;T;Total;NR;Number;Y_GE85;85 years or over;PT;Portugal;2015;2015;758266
A;Annual;M;Males;NR;Number;Y_GE85;85 years or over;PT;Portugal;2015;2015;758019
A;Annual;F;Females;NR;Number;Y_GE85;85 years or over;PT;Portugal;2015;2015;755458
A;Annual;T;Total;NR;Number;Y_GE90;90 years or over;PT;Portugal;2015;2015;752612
A;Annual;M;Males;NR;Number;Y_GE90;90 years or over;PT;Portugal;2015;2015;748505
A;Annual;F;Females;NR;Number;Y_GE90;90 years or over;PT;Portugal;2015;2015;748365
A;Annual;T;Total;NR;Number;UNK;Unknown;PT;Portugal;2015;2015;753851
A;Annual;M;Males;NR;Number;UNK;Unknown;PT;Portugal;2015;2015;767932
A;Annual;F;Females;NR;Number;UNK;Unknown;PT;Portugal;2015;2015;782582
A;Annual;T;Total;NR;Number;TOTAL;Total;PT;Portugal;2016;2016;688338
A;Annual;M;Males;NR;Number;TOTAL;Total;PT;Portugal;2016;2016;694810
A;Annual;F;Females;NR;Number;TOTAL;Total;PT;Portugal;2016;2016;705053
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2016;2016;717074
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2016;2016;725210
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2016;2016;731504
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2016;2016;742769
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2016;2016;745067
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2016;2016;746862
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2016;2016;750521
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2016;2016;754885
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2016;2016;644335
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2016;2016;648575
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2016;2016;654712
A;Annual;F;Females;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2016;2016;657448
A;Annual;T;Total;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2016;2016;665319
A;Annual;M;Males;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2016;2016;678018
A;Annual;F;Females;NR;Number;Y20-24;From 20 to 24 years;PT;Portugal;2016;2016;690884
A;Annual;T;Total;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2016;2016;703828
A;Annual;M;Males;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2016;2016;716653
A;Annual;F;Females;NR;Number;Y25-29;From 25 to 29 years;PT;Portugal;2016;2016;727409
