freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1998;1998;289.14
A;Annual;THS;Thousand;SAL;Employees;A;Agriculture, forestry and fishing;PT;Portugal;1998;1998;302.35
A;Annual;THS;Thousand;SELF;Self-employed persons;A;Agriculture, forestry and fishing;PT;Portugal;1998;1998;316.86
A;Annual;THS;Thousand;EMP;Employed persons;B-E;Industry (except construction);PT;Portugal;1998;1998;323.62
A;Annual;THS;Thousand;SAL;Employees;B-E;Industry (except construction);PT;Portugal;1998;1998;346.6
A;Annual;THS;Thousand;SELF;Self-employed persons;B-E;Industry (except construction);PT;Portugal;1998;1998;371.22
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT;Portugal;1998;1998;971.23
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT;Portugal;1998;1998;977.9
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT;Portugal;1998;1998;1003.47
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT;Portugal;1998;1998;1060.68
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT;Portugal;1998;1998;1086.77
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1998;1998;1094.66
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1998;1998;1163.55
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT;Portugal;1998;1998;1164.42
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1998;1998;1180.2
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1998;1998;1212.16
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT;Portugal;1998;1998;1226.73
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT;Portugal;1998;1998;1255.54
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT;Portugal;1998;1998;1256.41
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1998;1998;1274.4
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1239.9
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1232.97
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1227.6
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1998;1998;1174.11
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1998;1998;1143.15
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1998;1998;1189.49
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1998;1998;1227.63
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1998;1998;1268.27
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1998;1998;1323.38
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1380.62
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1422.41
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1998;1998;1368.52
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1998;1998;1352.43
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1998;1998;1425.21
