ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2019;Primeiro;Região de Saúde do Norte;[25-45[;12;Doenças da pele e do tecido subcutâneo;0.74;1.12
2019;Primeiro;Região de Saúde do Norte;[25-45[;14;Doenças do aparelho geniturinário;5.07;0.0
2019;Primeiro;Região de Saúde do Norte;[25-45[;15;Gravidez, parto e puerpério;46.15;0.04
2019;Primeiro;Região de Saúde do Norte;[45-65[;12;Doenças da pele e do tecido subcutâneo;0.82;1.43
2019;Primeiro;Região de Saúde do Norte;[45-65[;14;Doenças do aparelho geniturinário;7.87;0.67
2019;Primeiro;Região de Saúde do Norte;[45-65[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.28;0.0
2019;Primeiro;Região de Saúde do Norte;[45-65[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;3.14;2.61
2019;Primeiro;Região de Saúde do Norte;[5-15[;1;Algumas doenças infecciosas e parasitárias;4.91;1.22
2019;Primeiro;Região de Saúde do Norte;[5-15[;2;Neoplasias;3.71;0.0
2019;Primeiro;Região de Saúde do Norte;[5-15[;10;Doenças do aparelho respiratório;25.19;0.24
2019;Primeiro;Região de Saúde do Norte;[5-15[;16;Algumas condições originadas no período perinatal;0.06;0.0
2019;Primeiro;Região de Saúde do Norte;[5-15[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;5.45;0.0
2019;Primeiro;Região de Saúde do Norte;[5-15[;19;Lesões, envenenamento e algumas outras consequências de causas externas;8.08;0.0
2019;Primeiro;Região de Saúde do Norte;[65-120[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;0.9;3.79
2019;Primeiro;Região de Saúde do Norte;[65-120[;9;Doenças do aparelho circulatório;20.38;10.92
2019;Primeiro;Região de Saúde do Norte;[65-120[;12;Doenças da pele e do tecido subcutâneo;0.61;11.57
2019;Primeiro;Região de Saúde do Norte;[65-120[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;4.5;1.58
2020;Primeiro;Região de Saúde do Alentejo;[25-45[;12;Doenças da pele e do tecido subcutâneo;1.76;0.0
2020;Primeiro;Região de Saúde do Alentejo;[25-45[;14;Doenças do aparelho geniturinário;3.34;2.63
2020;Primeiro;Região de Saúde do Alentejo;[25-45[;15;Gravidez, parto e puerpério;52.02;0.0
2020;Primeiro;Região de Saúde do Alentejo;[25-45[;19;Lesões, envenenamento e algumas outras consequências de causas externas;8.7;0.0
2020;Primeiro;Região de Saúde do Alentejo;[45-65[;2;Neoplasias;10.98;13.5
2020;Primeiro;Região de Saúde do Alentejo;[45-65[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;4.04;0.0
2020;Primeiro;Região de Saúde do Alentejo;[45-65[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;1.89;0.0
2020;Primeiro;Região de Saúde do Alentejo;[5-15[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;3.67;0.0
2023;Quarto;Região de Saúde do Norte;[65-120[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;1.89;9.26
2023;Segundo;Região de Saúde LVT;[0-1[;2;Neoplasias;0.07;0.0
2023;Segundo;Região de Saúde LVT;[0-1[;4;Doenças endócrinas, nutricionais e metabólicas;0.1;0.0
2023;Segundo;Região de Saúde LVT;[0-1[;6;Doenças do sistema nervoso;0.41;6.67
2023;Segundo;Região de Saúde LVT;[0-1[;12;Doenças da pele e do tecido subcutâneo;0.3;0.0
2023;Segundo;Região de Saúde LVT;[0-1[;14;Doenças do aparelho geniturinário;1.33;0.0
2023;Segundo;Região de Saúde LVT;[1-5[;6;Doenças do sistema nervoso;3.44;2.56
2023;Segundo;Região de Saúde LVT;[1-5[;8;Doenças do ouvido e da apófise mastóide;6.18;0.0
2023;Segundo;Região de Saúde LVT;[1-5[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;7.41;1.19
2023;Segundo;Região de Saúde LVT;[1-5[;19;Lesões, envenenamento e algumas outras consequências de causas externas;3.88;2.27
2023;Segundo;Região de Saúde LVT;[1-5[;22;Códigos para fins especiais;0.35;0.0
2023;Segundo;Região de Saúde LVT;[15-25[;1;Algumas doenças infecciosas e parasitárias;2.89;1.16
2023;Segundo;Região de Saúde LVT;[15-25[;2;Neoplasias;2.96;3.41
2023;Segundo;Região de Saúde LVT;[15-25[;9;Doenças do aparelho circulatório;2.15;0.0
2023;Segundo;Região de Saúde LVT;[25-45[;9;Doenças do aparelho circulatório;3.87;3.58
2023;Terceiro;Região de Saúde LVT;[65-120[;22;Códigos para fins especiais;2.16;20.51
2023;Terceiro;Região de Saúde do Alentejo;[0-1[;4;Doenças endócrinas, nutricionais e metabólicas;0.14;0.0
2023;Terceiro;Região de Saúde do Alentejo;[0-1[;22;Códigos para fins especiais;0.42;0.0
2023;Terceiro;Região de Saúde do Alentejo;[1-5[;11;Doenças do aparelho digestivo;2.44;0.0
