tempo;regiao;instituicao;localizacao_geografica;no_episodios_utentes_idade_sup_65_anos_com_diag_princ_820_com_cir_realiz_nas_1as_48h_apos_admissao;n_episodios_utentes_idade_sup_65_anos_com_diag_princ_820_com_cirurgia_realizada;fraturas_anca_com_cirurgia_realizada_nas_primeiras_48_horas
2016-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;63;147;42.86
2016-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;0;0;
2016-03;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;0;0;
2016-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;32;116;27.59
2016-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;0;0;
2016-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;29;49;59.18
2016-03;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;0;0;
2016-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;13;43;30.23
2016-03;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;55;105;52.38
2016-03;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;30;65;46.15
2016-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;0;0;
2016-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;53;63;84.13
2016-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;14;86;16.28
2016-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;33;50;66.0
2016-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;30;61;49.18
