tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2017-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;-949058.55;24625386.560000002;23150636.8;-1475445.2;-1474749.76
2017-02;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;-5316731.96;39380428.5;33005989.97;-6349139.22;-6374438.53
2017-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;-7087901.58;70887654.72;62748253.64;-7807614.41;-8139401.08
2017-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;-182349.58;32017267.479999997;30999332.44;810128.66;-1017935.04
2017-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;-4660942.25;50681328.620000005;44966225.88;-5715683.28;-5715102.74
2017-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;-10708309.45;70061491.47;57742691.64;-12616701.25;-12318799.83
2017-02;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;-5666600.54;33041839.790000003;26296907.58;-6616561.44;-6744932.21
2017-02;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;173291.55;590231.22;763522.7699999999;197908.15;173291.55
2017-02;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-2122435.93;22597721.94;19387741.43;-3203460.53;-3209980.51
2017-02;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;-3199.25;11042509.120000001;10808013.17;-235794.95;-234495.95
2017-03;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;-1809772.99;23338654.470000003;20735419.869999997;-2508478.14;-2603234.6
2017-03;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;-309180.38;23673359.43;22537022.26;-1030972.17;-1136337.17
2017-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-5028104.929999998;22019189.39;15947264.040000001;-6165734.6;-6071925.349999998
2017-03;Região de Saúde LVT;Centro Hospitalar do Oeste, SPA;39.4054629, -9.1258493;2553550.13;15998412.09;18551962.22;2543028.22;2553550.13
2017-03;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;-2977656.17;24290614.22;20327577.150000002;-3734457.83;-3963037.07
2017-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;-1413424.45;12255306.629999999;10719703.94;-1535957.8;-1535602.69
2017-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-3607253.65;32161925.599999998;27912607.95;-4255943.97;-4249317.65
2017-03;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;-5083215.98;43698342.74;37630836.43;-6093827.8;-6067506.31
2017-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;-594773.11;13763512.57;12412687.76;-1019510.47;-1350824.81
