geocod;geodsg;ind_string;valor;periodo
16E1808;Mortágua;84,3;84.3;2023
16G0901;Aguiar da Beira;84,4;84.4;2023
16J0908;Manteigas;85,7;85.7;2023
11E0401;Alfândega da Fé;86,6;86.6;2023
1870707;Mora;87,0;87;2023
16J0909;Mêda;87,4;87.4;2023
16H0508;Proença-a-Nova;87,9;87.9;2023
11D0403;Carrazeda de Ansiães;89,1;89.1;2023
11E0408;Mogadouro;89,4;89.4;2023
16J0910;Pinhel;89,4;89.4;2023
11B1702;Boticas;89,9;89.9;2023
16J0906;Gouveia;90,1;90.1;2023
16I0510;Vila de Rei;90,6;90.6;2023
11D0404;Freixo de Espada à Cinta;90,9;90.9;2023
16J0904;Figueira de Castelo Rodrigo;91,6;91.6;2023
1861212;Nisa;92,0;92;2023
11B1706;Montalegre;93,6;93.6;2023
11E0406;Miranda do Douro;94,0;94;2023
1861209;Gavião;94,5;94.5;2023
16I1413;Mação;95,9;95.9;2023
11B1712;Valpaços;96,9;96.9;2023
11D0409;Torre de Moncorvo;98,1;98.1;2023
16H0505;Idanha-a-Nova;100,9;100.9;2023
16H0507;Penamacor;101,6;101.6;2023
16J0902;Almeida;102,9;102.9;2023
11E0411;Vimioso;103,4;103.4;2023
1111603;Melgaço;103,5;103.5;2023
16H0506;Oleiros;107,0;107;2023
16E0612;Pampilhosa da Serra;108,4;108.4;2023
16J0911;Sabugal;108,5;108.5;2023
16H0511;Vila Velha de Ródão;108,6;108.6;2023
11E0412;Vinhais;108,9;108.9;2023
1500802;Alcoutim;111,3;111.3;2023
