geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
20;Região Autónoma dos Açores;2;M;4;Básico - 3º Ciclo;;;9,9;9.9;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;4;Básico - 3º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;7,7 §;7.7;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;4;Básico - 3º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;7,7 §;7.7;4.º Trimestre de 2024
PT;Portugal;2;M;4;Básico - 3º Ciclo;;;312,3;312.3;4.º Trimestre de 2024
1;Continente;T;HM;4;Básico - 3º Ciclo;;;674,4;674.4;4.º Trimestre de 2024
11;Norte;T;HM;4;Básico - 3º Ciclo;;;246,4;246.4;4.º Trimestre de 2024
15;Algarve;T;HM;4;Básico - 3º Ciclo;;;39,3;39.3;4.º Trimestre de 2024
16;Centro;T;HM;4;Básico - 3º Ciclo;;;161,0;161;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;4;Básico - 3º Ciclo;;;170,7;170.7;4.º Trimestre de 2024
18;Alentejo;T;HM;4;Básico - 3º Ciclo;;;56,9;56.9;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;4;Básico - 3º Ciclo;;;22,7;22.7;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;4;Básico - 3º Ciclo;;;22,7;22.7;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;4;Básico - 3º Ciclo;;;18,8;18.8;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;4;Básico - 3º Ciclo;;;18,8;18.8;4.º Trimestre de 2024
PT;Portugal;T;HM;4;Básico - 3º Ciclo;;;715,9;715.9;4.º Trimestre de 2024
1;Continente;1;H;5;Secundário e pós-secundário;;;717,1;717.1;4.º Trimestre de 2024
11;Norte;1;H;5;Secundário e pós-secundário;;;248,5;248.5;4.º Trimestre de 2024
15;Algarve;1;H;5;Secundário e pós-secundário;;;32,4;32.4;4.º Trimestre de 2024
16;Centro;1;H;5;Secundário e pós-secundário;;;156,2;156.2;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;5;Secundário e pós-secundário;;;224,6;224.6;4.º Trimestre de 2024
18;Alentejo;1;H;5;Secundário e pós-secundário;;;55,3;55.3;4.º Trimestre de 2024
2;Região Autónoma dos Açores;1;H;5;Secundário e pós-secundário;;;14,8;14.8;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;5;Secundário e pós-secundário;;;14,8;14.8;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;5;Secundário e pós-secundário;;;16,1;16.1;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;5;Secundário e pós-secundário;;;16,1;16.1;4.º Trimestre de 2024
PT;Portugal;1;H;5;Secundário e pós-secundário;;;748,1;748.1;4.º Trimestre de 2024
1;Continente;2;M;5;Secundário e pós-secundário;;;681,0;681;4.º Trimestre de 2024
11;Norte;2;M;5;Secundário e pós-secundário;;;230,4;230.4;4.º Trimestre de 2024
15;Algarve;2;M;5;Secundário e pós-secundário;;;37,2;37.2;4.º Trimestre de 2024
16;Centro;2;M;5;Secundário e pós-secundário;;;159,3;159.3;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;5;Secundário e pós-secundário;;;202,6;202.6;4.º Trimestre de 2024
18;Alentejo;2;M;5;Secundário e pós-secundário;;;51,6;51.6;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;5;Secundário e pós-secundário;;;16,9;16.9;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;5;Secundário e pós-secundário;;;16,9;16.9;4.º Trimestre de 2024
