geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
3;Região Autónoma da Madeira;T;HM;41;30 - 34 anos;13 370;13370;2023
30;Região Autónoma da Madeira;T;HM;41;30 - 34 anos;13 370;13370;2023
300;Região Autónoma da Madeira;T;HM;41;30 - 34 anos;13 370;13370;2023
1701110;Oeiras;T;HM;61;50 - 54 anos;13 374;13374;2023
185;Lezíria do Tejo;T;HM;31;20 - 24 anos;13 389;13389;2023
1701111;Sintra;2;M;71;60 - 64 anos;13 426;13426;2023
16D;Região de Aveiro;T;HM;92;85 e mais anos;13 460;13460;2023
16D;Região de Aveiro;2;M;72;65 - 69 anos;13 465;13465;2023
2;Região Autónoma dos Açores;T;HM;72;65 - 69 anos;13 468;13468;2023
20;Região Autónoma dos Açores;T;HM;72;65 - 69 anos;13 468;13468;2023
200;Região Autónoma dos Açores;T;HM;72;65 - 69 anos;13 468;13468;2023
16G;Viseu Dão Lafões;T;HM;42;35 - 39 anos;13 480;13480;2023
112;Cávado;2;M;42;35 - 39 anos;13 496;13496;2023
16G;Viseu Dão Lafões;T;HM;31;20 - 24 anos;13 497;13497;2023
3;Região Autónoma da Madeira;T;HM;81;70 - 74 anos;13 513;13513;2023
30;Região Autónoma da Madeira;T;HM;81;70 - 74 anos;13 513;13513;2023
300;Região Autónoma da Madeira;T;HM;81;70 - 74 anos;13 513;13513;2023
16D0103;Anadia;1;H;T;Total;13 533;13533;2023
16E;Região de Coimbra;1;H;81;70 - 74 anos;13 534;13534;2023
16G1821;Tondela;2;M;T;Total;13 540;13540;2023
16B;Oeste;T;HM;92;85 e mais anos;13 557;13557;2023
2;Região Autónoma dos Açores;T;HM;22;15 - 19 anos;13 587;13587;2023
20;Região Autónoma dos Açores;T;HM;22;15 - 19 anos;13 587;13587;2023
200;Região Autónoma dos Açores;T;HM;22;15 - 19 anos;13 587;13587;2023
11A1308;Matosinhos;T;HM;61;50 - 54 anos;13 590;13590;2023
3;Região Autónoma da Madeira;T;HM;32;25 - 29 anos;13 616;13616;2023
30;Região Autónoma da Madeira;T;HM;32;25 - 29 anos;13 616;13616;2023
300;Região Autónoma da Madeira;T;HM;32;25 - 29 anos;13 616;13616;2023
18;Alentejo;2;M;11;0 - 4 anos;13 642;13642;2023
1811509;Santiago do Cacém;1;H;T;Total;13 645;13645;2023
16B;Oeste;1;H;61;50 - 54 anos;13 647;13647;2023
16E;Região de Coimbra;2;M;92;85 e mais anos;13 656;13656;2023
16D;Região de Aveiro;2;M;51;40 - 44 anos;13 680;13680;2023
119;Ave;1;H;72;65 - 69 anos;13 700;13700;2023
16B;Oeste;2;M;71;60 - 64 anos;13 713;13713;2023
16B;Oeste;2;M;51;40 - 44 anos;13 728;13728;2023
1840213;Serpa;T;HM;T;Total;13 731;13731;2023
16G1803;Castro Daire;T;HM;T;Total;13 732;13732;2023
16J;Beiras e Serra da Estrela;T;HM;82;75 - 79 anos;13 751;13751;2023
16B1108;Lourinhã;1;H;T;Total;13 756;13756;2023
1120303;Braga;T;HM;71;60 - 64 anos;13 780;13780;2023
