geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTLAJ,Lajes das Flores,05,Têxteis e produtos têxteis; couro e artigos de couro,,,23,2023,23
PTLDP,Lajes do Pico,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,05,Têxteis e produtos têxteis; couro e artigos de couro,,,85 636,2023,85636
PTLIS,Lisboa,05,Têxteis e produtos têxteis; couro e artigos de couro,,,29 236,2023,29236
PTMAD,Madalena,05,Têxteis e produtos têxteis; couro e artigos de couro,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,31 814,2023,31814
PTPRG,Praia da Graciosa,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,10,2023,10
PTPRM,Portimão,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,10 497,2023,10497
PTPXO,Porto Santo,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,234,2023,234
PTSCF,Santa Cruz das Flores,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,281 831,2023,281831
PTSIN,Sines,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,596 178,2023,596178
PTVDC,Viana do Castelo,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,101 667,2023,101667
PTVDP,Vila do Porto,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,450,2023,450
PTVEL,Velas,06,"Madeira e cortiça e suas obras (excepto mobiliário); obras de espartaria e de cestaria; pasta, papel e cartão e seus artigos; material impresso, suportes gravados",,,208,2023,208
