geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
111,Alto Minho,47593,"Comércio a retalho de outros artigos para o lar, n.e., em estabelecimentos especializados",-3 805,-3805,2022,,
16,Centro,9499,"Outras atividades de organizações associativas, n.e.",-3 798,-3798,2022,,
186,Alto Alentejo,4673,"Comércio por grosso de madeira, de materiais de construção e equipamento sanitário",-3 797,-3797,2022,,
16,Centro,023,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-3 762,-3762,2022,,
16,Centro,0230,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-3 762,-3762,2022,,
16,Centro,02300,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-3 762,-3762,2022,,
16,Centro,5829,Edição de outros programas informáticos,-3 761,-3761,2022,,
16,Centro,58290,Edição de outros programas informáticos,-3 761,-3761,2022,,
16F,Região de Leiria,4741,"Comércio a retalho de computadores, unidades periféricas e programas informáticos, em estabelecimentos especializados",-3 750,-3750,2022,,
16F,Região de Leiria,47410,"Comércio a retalho de computadores, unidades periféricas e programas informáticos, em estabelecimentos especializados",-3 750,-3750,2022,,
11C,Tâmega e Sousa,4776,"Comércio a retalho de flores, plantas, sementes, fertilizantes, animais de companhia e respetivos alimentos, em estabelecimentos especializados",-3 740,-3740,2022,,
11C,Tâmega e Sousa,47761,"Comércio a retalho de flores, plantas, sementes e fertilizantes, em estabelecimentos especializados",-3 740,-3740,2022,,
18,Alentejo,2561,Tratamento e revestimento de metais,-3 732,-3732,2022,,
18,Alentejo,25610,Tratamento e revestimento de metais,-3 732,-3732,2022,,
185,Lezíria do Tejo,2361,Fabricação de produtos de betão para a construção,-3 716,-3716,2022,,
185,Lezíria do Tejo,23610,Fabricação de produtos de betão para a construção,-3 716,-3716,2022,,
185,Lezíria do Tejo,56304,Outros estabelecimentos de bebidas sem espetáculo,-3 706,-3706,2022,,
16G,Viseu Dão Lafões,462,Comércio por grosso de produtos agrícolas brutos e animais vivos,-3 702,-3702,2022,,
184,Baixo Alentejo,4322,Instalação de canalizações e de climatização,-3 663,-3663,2022,,
184,Baixo Alentejo,43221,Instalação de canalizações,-3 663,-3663,2022,,
16,Centro,5621,Fornecimento de refeições para eventos,-3 652,-3652,2022,,
16,Centro,56210,Fornecimento de refeições para eventos,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,562,Fornecimento de refeições para eventos e outras atividades de serviço de refeições,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,5621,Fornecimento de refeições para eventos,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,56210,Fornecimento de refeições para eventos,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,592,Atividades de gravação de som e edição de música,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,5920,Atividades de gravação de som e edição de música,-3 652,-3652,2022,,
16G,Viseu Dão Lafões,59200,Atividades de gravação de som e edição de música,-3 652,-3652,2022,,
3,Região Autónoma da Madeira,563,Estabelecimentos de bebidas,-3 636,-3636,2022,,
3,Região Autónoma da Madeira,5630,Estabelecimentos de bebidas,-3 636,-3636,2022,,
30,Região Autónoma da Madeira,563,Estabelecimentos de bebidas,-3 636,-3636,2022,,
30,Região Autónoma da Madeira,5630,Estabelecimentos de bebidas,-3 636,-3636,2022,,
300,Região Autónoma da Madeira,563,Estabelecimentos de bebidas,-3 636,-3636,2022,,
300,Região Autónoma da Madeira,5630,Estabelecimentos de bebidas,-3 636,-3636,2022,,
16J,Beiras e Serra da Estrela,0141,Criação de bovinos para produção de leite,-3 630,-3630,2022,,
16J,Beiras e Serra da Estrela,01410,Criação de bovinos para produção de leite,-3 630,-3630,2022,,
