geocod,geodsg,ind_string,valor,periodo
11D1819,Tabuaço,"374,2",374.2,2023
11D1701,Alijó,"380,1",380.1,2023
16J0904,Figueira de Castelo Rodrigo,"380,3",380.3,2023
16J0905,Fornos de Algodres,"386,6",386.6,2023
16J0903,Celorico da Beira,"390,5",390.5,2023
11E0405,Macedo de Cavaleiros,"395,1",395.1,2023
11E0410,Vila Flor,"396,2",396.2,2023
16F1008,Figueiró dos Vinhos,"397,0",397,2023
1111601,Arcos de Valdevez,"397,1",397.1,2023
1861206,Crato,"398,3",398.3,2023
16F1013,Pedrógão Grande,"404,8",404.8,2023
11B,Alto Tâmega,"407,5",407.5,2023
16F1002,Alvaiázere,"409,2",409.2,2023
11D0914,Vila Nova de Foz Côa,"417,6",417.6,2023
1870707,Mora,"419,6",419.6,2023
11B1713,Vila Pouca de Aguiar,"429,1",429.1,2023
1840209,Mértola,"433,5",433.5,2023
16J0913,Trancoso,"434,2",434.2,2023
16J0906,Gouveia,"435,5",435.5,2023
16H0505,Idanha-a-Nova,"439,3",439.3,2023
11D1812,Penedono,"440,4",440.4,2023
11D1707,Murça,"440,6",440.6,2023
11D0403,Carrazeda de Ansiães,"446,0",446,2023
11B1702,Boticas,"446,6",446.6,2023
16J0908,Manteigas,"446,8",446.8,2023
11E0401,Alfândega da Fé,"447,2",447.2,2023
16H0511,Vila Velha de Ródão,"451,2",451.2,2023
16G0901,Aguiar da Beira,"456,4",456.4,2023
16H0508,Proença-a-Nova,"458,4",458.4,2023
16E0606,Góis,"477,2",477.2,2023
11E0408,Mogadouro,"479,4",479.4,2023
11E0406,Miranda do Douro,"483,4",483.4,2023
1861212,Nisa,"488,3",488.3,2023
16J0909,Mêda,"493,9",493.9,2023
16I1413,Mação,"496,0",496,2023
16J0910,Pinhel,"501,5",501.5,2023
11D0409,Torre de Moncorvo,"504,5",504.5,2023
11B1712,Valpaços,"511,1",511.1,2023
11B1706,Montalegre,"541,4",541.4,2023
16F1007,Castanheira de Pêra,"548,6",548.6,2023
1861209,Gavião,"559,2",559.2,2023
16J0911,Sabugal,"565,0",565,2023
11E0411,Vimioso,"582,6",582.6,2023
1111603,Melgaço,"582,7",582.7,2023
16H0507,Penamacor,"619,3",619.3,2023
16E0612,Pampilhosa da Serra,"634,5",634.5,2023
16J0902,Almeida,"713,0",713,2023
1500802,Alcoutim,"714,7",714.7,2023
11E0412,Vinhais,"716,0",716,2023
16H0506,Oleiros,"720,1",720.1,2023
