tempo;regiao;instituicao;localizacao_geografica;gastos_com_te_e_suplementos;gastos_com_pessoal;gastos_com_te_e_suplementos_no_total_gastos_com_pessoal
2019-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;3857;26981;14.3
2019-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;44;1020;4.3
2019-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;915;7483;12.2
2019-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;2223;14823;15.0
2019-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Central, EPE;38.7166948, -9.1371248;10370;84294;12.3
2019-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;4027;28426;14.2
2019-04;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;309;1368;22.6
2019-04;Região de Saúde Norte;Centro Hospitalar do Porto, EPE;41.1472498, -8.6172617;5827;49655;11.7
2019-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;2260;29593;7.6
2019-04;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;357;4278;8.3
2019-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;1678;22239;7.5
2019-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;4522;22964;19.7
2019-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;5162;35484;14.5
2019-05;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;2855;16549;17.3
2019-05;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;1227;9487;12.9
2019-05;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;146;2035;7.2
2019-05;Região de Saúde LVT;Centro Hospitalar Lisboa Norte, EPE;38.7500861, -9.1616116;13538;86124;15.7
2019-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;3582;25431;14.1
2019-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;361;7018;5.2
2019-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;3264;23419;13.9
2019-05;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;479;5643;8.5
2019-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;2332;28148;8.3
2019-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;4910;25314;19.4
2019-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;10274;59572;17.2
2019-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;4340;28912;15.0
2019-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;3456;22426;15.4
2019-06;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;7469;54895;13.6
2019-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;6109;43265;14.1
2019-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;707;5940;11.9
2019-07;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;5726;30041;19.1
2019-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;2318;15621;14.8
2019-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;4020;26284;15.3
2019-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;5421;35707;15.2
2019-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;1174;21918;5.4
2019-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;4869;33856;14.4
2019-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;7552;46098;16.4
2019-07;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;4017;49730;8.1
2019-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;2728;18283;14.9
2019-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;13637;81684;16.7
2019-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;6003;39972;15.0
2019-08;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;259;3309;7.8
2019-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;4767;35533;13.4
2019-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;10227;77054;13.3
2019-08;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;7340;39742;18.5
2019-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;2706;15498;17.5
2019-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;7396;39712;18.6
2019-09;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;5222;30226;17.3
2019-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;6541;48596;13.5
2019-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;6686;45599;14.7
2019-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;1513;28459;5.3
2019-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;9773;67207;14.5
2019-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;6006;42527;14.1
2019-09;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;571;9102;6.3
2019-10;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;5824;33640;17.3
2019-10;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;122;2345;5.2
2019-10;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;6051;40373;15.0
2019-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;11089;75604;14.7
